,Politik,Other,Wirtschaft,Quelle,Russland,Sabotage,Wetter,Gesellschaft,Klimawandel,Proteste
2022-01-01,0,0,0,1,0,0,0,0,0,0
2022-01-05,1,0,0,0,0,0,0,1,0,0
2022-01-08,0,0,1,0,0,0,0,0,0,0
2022-01-10,0,0,0,0,0,0,0,1,0,0
2022-01-11,0,1,1,0,0,0,0,1,0,0
2022-01-14,0,0,0,0,0,0,0,1,0,0
2022-01-20,0,0,0,0,0,0,0,1,0,0
2022-01-28,0,0,1,0,0,0,0,1,0,0
2022-01-31,0,0,0,1,0,0,0,0,0,0
2022-02-01,1,1,0,0,0,1,0,2,0,0
2022-02-02,0,1,1,0,0,0,0,2,0,0
2022-02-03,0,0,0,0,0,0,0,1,0,0
2022-02-06,0,0,1,0,1,0,0,0,0,0
2022-02-14,1,0,0,1,0,0,0,1,0,0
2022-02-16,0,1,0,2,0,0,0,0,0,0
2022-02-21,0,1,0,1,0,0,0,0,0,0
2022-02-22,0,0,0,0,0,0,0,0,0,0
2022-02-24,0,0,0,1,0,0,0,0,0,0
2022-03-02,0,1,0,0,0,0,0,0,0,0
2022-03-07,0,1,0,0,0,0,0,0,0,0
2022-03-08,0,1,0,0,0,0,0,0,0,0
2022-03-09,0,0,0,0,0,0,0,0,0,0
2022-03-11,0,0,0,1,0,0,0,0,0,0
2022-03-12,0,0,0,0,0,0,0,2,0,0
2022-03-15,0,0,0,0,0,0,0,0,0,0
2022-03-16,0,0,0,1,0,0,0,0,0,0
2022-03-17,1,0,0,0,0,0,0,0,0,0
2022-03-18,0,0,0,1,0,0,0,0,0,0
2022-03-19,0,0,0,2,0,0,0,0,0,0
2022-03-23,0,0,0,0,0,0,0,1,0,0
2022-03-28,0,0,0,1,0,0,0,1,0,0
2022-03-30,0,0,0,0,0,0,0,1,0,0
2022-04-04,0,0,0,0,0,0,0,1,0,0
2022-04-06,0,0,0,0,0,0,0,0,0,0
2022-04-10,0,0,0,1,0,0,0,0,0,0
2022-04-12,0,1,0,2,0,0,0,1,0,0
2022-04-13,0,0,0,0,0,0,0,1,0,0
